"","displ","cyl","drv","hwy"
"1",1.8,4,"f",29
"2",1.8,4,"f",29
"3",2,4,"f",31
"4",2,4,"f",30
"5",2.8,6,"f",26
"6",2.8,6,"f",26
"7",3.1,6,"f",27
"8",1.8,4,"4",26
"9",1.8,4,"4",25
"10",2,4,"4",28
"11",2,4,"4",27
"12",2.8,6,"4",25
"13",2.8,6,"4",25
"14",3.1,6,"4",25
"15",3.1,6,"4",25
"16",2.8,6,"4",24
"17",3.1,6,"4",25
"18",4.2,8,"4",23
"19",5.3,8,"r",20
"20",5.3,8,"r",15
"21",5.3,8,"r",20
"22",5.7,8,"r",17
"23",6,8,"r",17
"24",5.7,8,"r",26
"25",5.7,8,"r",23
"26",6.2,8,"r",26
"27",6.2,8,"r",25
"28",7,8,"r",24
"29",5.3,8,"4",19
"30",5.3,8,"4",14
"31",5.7,8,"4",15
"32",6.5,8,"4",17
"33",2.4,4,"f",27
"34",2.4,4,"f",30
"35",3.1,6,"f",26
"36",3.5,6,"f",29
"37",3.6,6,"f",26
"38",2.4,4,"f",24
"39",3,6,"f",24
"40",3.3,6,"f",22
"41",3.3,6,"f",22
"42",3.3,6,"f",24
"43",3.3,6,"f",24
"44",3.3,6,"f",17
"45",3.8,6,"f",22
"46",3.8,6,"f",21
"47",3.8,6,"f",23
"48",4,6,"f",23
"49",3.7,6,"4",19
"50",3.7,6,"4",18
"51",3.9,6,"4",17
"52",3.9,6,"4",17
"53",4.7,8,"4",19
"54",4.7,8,"4",19
"55",4.7,8,"4",12
"56",5.2,8,"4",17
"57",5.2,8,"4",15
"58",3.9,6,"4",17
"59",4.7,8,"4",17
"60",4.7,8,"4",12
"61",4.7,8,"4",17
"62",5.2,8,"4",16
"63",5.7,8,"4",18
"64",5.9,8,"4",15
"65",4.7,8,"4",16
"66",4.7,8,"4",12
"67",4.7,8,"4",17
"68",4.7,8,"4",17
"69",4.7,8,"4",16
"70",4.7,8,"4",12
"71",5.2,8,"4",15
"72",5.2,8,"4",16
"73",5.7,8,"4",17
"74",5.9,8,"4",15
"75",4.6,8,"r",17
"76",5.4,8,"r",17
"77",5.4,8,"r",18
"78",4,6,"4",17
"79",4,6,"4",19
"80",4,6,"4",17
"81",4,6,"4",19
"82",4.6,8,"4",19
"83",5,8,"4",17
"84",4.2,6,"4",17
"85",4.2,6,"4",17
"86",4.6,8,"4",16
"87",4.6,8,"4",16
"88",4.6,8,"4",17
"89",5.4,8,"4",15
"90",5.4,8,"4",17
"91",3.8,6,"r",26
"92",3.8,6,"r",25
"93",4,6,"r",26
"94",4,6,"r",24
"95",4.6,8,"r",21
"96",4.6,8,"r",22
"97",4.6,8,"r",23
"98",4.6,8,"r",22
"99",5.4,8,"r",20
"100",1.6,4,"f",33
"101",1.6,4,"f",32
"102",1.6,4,"f",32
"103",1.6,4,"f",29
"104",1.6,4,"f",32
"105",1.8,4,"f",34
"106",1.8,4,"f",36
"107",1.8,4,"f",36
"108",2,4,"f",29
"109",2.4,4,"f",26
"110",2.4,4,"f",27
"111",2.4,4,"f",30
"112",2.4,4,"f",31
"113",2.5,6,"f",26
"114",2.5,6,"f",26
"115",3.3,6,"f",28
"116",2,4,"f",26
"117",2,4,"f",29
"118",2,4,"f",28
"119",2,4,"f",27
"120",2.7,6,"f",24
"121",2.7,6,"f",24
"122",2.7,6,"f",24
"123",3,6,"4",22
"124",3.7,6,"4",19
"125",4,6,"4",20
"126",4.7,8,"4",17
"127",4.7,8,"4",12
"128",4.7,8,"4",19
"129",5.7,8,"4",18
"130",6.1,8,"4",14
"131",4,8,"4",15
"132",4.2,8,"4",18
"133",4.4,8,"4",18
"134",4.6,8,"4",15
"135",5.4,8,"r",17
"136",5.4,8,"r",16
"137",5.4,8,"r",18
"138",4,6,"4",17
"139",4,6,"4",19
"140",4.6,8,"4",19
"141",5,8,"4",17
"142",2.4,4,"f",29
"143",2.4,4,"f",27
"144",2.5,4,"f",31
"145",2.5,4,"f",32
"146",3.5,6,"f",27
"147",3.5,6,"f",26
"148",3,6,"f",26
"149",3,6,"f",25
"150",3.5,6,"f",25
"151",3.3,6,"4",17
"152",3.3,6,"4",17
"153",4,6,"4",20
"154",5.6,8,"4",18
"155",3.1,6,"f",26
"156",3.8,6,"f",26
"157",3.8,6,"f",27
"158",3.8,6,"f",28
"159",5.3,8,"f",25
"160",2.5,4,"4",25
"161",2.5,4,"4",24
"162",2.5,4,"4",27
"163",2.5,4,"4",25
"164",2.5,4,"4",26
"165",2.5,4,"4",23
"166",2.2,4,"4",26
"167",2.2,4,"4",26
"168",2.5,4,"4",26
"169",2.5,4,"4",26
"170",2.5,4,"4",25
"171",2.5,4,"4",27
"172",2.5,4,"4",25
"173",2.5,4,"4",27
"174",2.7,4,"4",20
"175",2.7,4,"4",20
"176",3.4,6,"4",19
"177",3.4,6,"4",17
"178",4,6,"4",20
"179",4.7,8,"4",17
"180",2.2,4,"f",29
"181",2.2,4,"f",27
"182",2.4,4,"f",31
"183",2.4,4,"f",31
"184",3,6,"f",26
"185",3,6,"f",26
"186",3.5,6,"f",28
"187",2.2,4,"f",27
"188",2.2,4,"f",29
"189",2.4,4,"f",31
"190",2.4,4,"f",31
"191",3,6,"f",26
"192",3,6,"f",26
"193",3.3,6,"f",27
"194",1.8,4,"f",30
"195",1.8,4,"f",33
"196",1.8,4,"f",35
"197",1.8,4,"f",37
"198",1.8,4,"f",35
"199",4.7,8,"4",15
"200",5.7,8,"4",18
"201",2.7,4,"4",20
"202",2.7,4,"4",20
"203",2.7,4,"4",22
"204",3.4,6,"4",17
"205",3.4,6,"4",19
"206",4,6,"4",18
"207",4,6,"4",20
"208",2,4,"f",29
"209",2,4,"f",26
"210",2,4,"f",29
"211",2,4,"f",29
"212",2.8,6,"f",24
"213",1.9,4,"f",44
"214",2,4,"f",29
"215",2,4,"f",26
"216",2,4,"f",29
"217",2,4,"f",29
"218",2.5,5,"f",29
"219",2.5,5,"f",29
"220",2.8,6,"f",23
"221",2.8,6,"f",24
"222",1.9,4,"f",44
"223",1.9,4,"f",41
"224",2,4,"f",29
"225",2,4,"f",26
"226",2.5,5,"f",28
"227",2.5,5,"f",29
"228",1.8,4,"f",29
"229",1.8,4,"f",29
"230",2,4,"f",28
"231",2,4,"f",29
"232",2.8,6,"f",26
"233",2.8,6,"f",26
"234",3.6,6,"f",26
